Doha,English Translation,Meaning
"बुरा जो देखन मैं चला, बुरा न मिलिया कोई।\nजो मन खोजा आपना, तो मुझसे बुरा न कोई।।","I set out to find the bad in others, but found none. When I searched within my own mind, I found none worse than myself.","Emphasizes self-reflection and introspection, focusing on one's own faults rather than others'."
"धीरे धीरे रे मना, धीरे सब कुछ होय।\nमाली सींचे सौ घड़ा, ऋतु आए फल होय।।","Slowly, slowly, O mind, everything happens. The gardener may water with a hundred pots, but the fruit appears only in its season.","Teaches patience and that everything happens in its own time."
"कबीरा कुआँ एक है, पानी भरे अनेक।\nभांडे ही में भेद है, पानी सब में एक।।","Kabir says there is only one well, filled by many. The vessels are different, but the water inside remains the same.","Highlights the unity and oneness of existence, and the constant source of all forms."
"साईं इतना दीजिये, जा मे कुटुम समाय।\nमैं भी भूखा न रहूँ, साधु न भूखा जाय।।","Grant me, O Lord, enough to sustain my family. Neither should I remain hungry, nor should any visitor go hungry.","Encourages contentment, sufficiency, and hospitality."
"जो तोको काँटा बोवे, सो तोको फूल भय।\nकबीरा जो कुछ होत है, सब अपने करमाय।।","If you sow thorns, you will reap flowers. Kabir says, whatever happens is due to one's own actions.",Emphasizes the importance of good deeds and the consequences of one's actions.
"बड़ा हुआ तो क्या हुआ, जैसे पेड़ खजूर।\nपंथी को छाया नहीं, फल लगे अति दूर।।","What is the use of being big like a date palm tree? It does not provide shade for travelers, and its fruits are hard to reach.","Emphasizes the importance of being useful and accessible to others, rather than just focusing on one's own growth or stature."
"कबीरा जब हम पैदा हुए, जग हंसे हम रोये।\nऐसी करनी कर चलो, हम हंसे जग रोये।।","When I was born, the world laughed and I cried. Live your life in such a way that when you die, you laugh and the world cries.","Encourages living a purposeful, selfless life that positively impacts others and leaves a lasting legacy."
"अच्छा सुमीरन बुरा सुमीरन, सबका सुमीरन चल।\nकबीरा सोई जतन करे, जा की मोतियाँ मल।।","Good or bad, everyone's time passes. Kabir says, make efforts for the one whose pearls you will wear.","Encourages focusing on what truly matters in life and striving for long-lasting, meaningful accomplishments."
"पोथी पढ़ि पढ़ि जग मुआ, पंडित भया न कोय।\nढाई आखर प्रेम का, पढ़े सो पंडित होय।।","People die reading scriptures, but no one becomes wise. The one who reads the two and a half letters of love becomes truly wise.","Emphasizes the importance of love, compassion, and understanding over mere intellectual knowledge or religious rituals."
"माया मरी न मुनि मरी, मरी है देह।\nआवै जावै जोनी, जीवन कोई न लेह।।","Neither illusion nor the sage dies, only the body dies. The soul keeps entering different life forms, no one can seize it.","Reflects on the impermanence of the physical body and the eternal nature of the soul, emphasizing spiritual growth over materialistic pursuits."
"कबीरा तेरी झोंपड़ी, गल काटियाँ के पास।\nजो कारणे सोई बियाबान, यह तेरी आदेश।।","Kabir, your hut is near the road. Whatever happens, stay in the wilderness, following your own path.","Encourages staying true to one's own beliefs and principles, regardless of external circumstances or others' opinions."
"चलती चक्की देख कर, दिया कबीरा रोय।\nदुइ पाटन के बीच में, साबुत बचा न कोय।।","Seeing the grinding mill in motion, Kabir weeps. Between the two grinding stones, nothing remains intact.","Reflects on the inevitability of change and the impermanence of life, urging the need to focus on the eternal and spiritual aspects."
"आवत जावत हरि के द्वारा, मिलत नहीं विचार।\nकबीर उदय के बचन कहे, जिन पाया बिचार।।","Coming and going to the Lord's door, one cannot find contemplation. Kabir speaks of the words of wisdom, only by which contemplation is attained.",Encourages sincere spiritual practice and contemplation in order to attain true wisdom and understanding.
"गुरु गोविन्द दोऊ खड़े, काके लागूं पाय।\nबलिहारी गुरु आपने, गोविन्द दियो मिलाय।।","Guru and Govind (God) both stand before me, whose feet should I touch first? I am grateful to my Guru, who has led me to the divine.",Emphasizes the importance of a true spiritual teacher in guiding and helping one reach the divine.
"राम नाम का लंबा लगान, देखा नहीं दूजा।\nकबीरा सोई धनी भया, जा को लगा लगान।।","The long-lasting bond of Ram's name, I see no other. Kabir says, the one who is bound to this bond becomes truly wealthy.","Stresses the importance of devotion and faith in God, which brings true spiritual wealth and inner fulfillment."
"काल करे सो आज कर, आज करे सो अब।\nपल की बादहवासी, बहुरि करेगा कब।।","Do tomorrow's work today, and today's work now. If you become careless even for a moment, when will you do it again?","Encourages being proactive and not procrastinating, as time is fleeting and uncertain."
"कबीर मन निर्मल भया, जैसा गंगा नीर।\nपछे पछे हरि फिरे, कहत कबीर कबीर।।","Kabir's mind became pure, like the water of the Ganges. God follows him everywhere, saying 'Kabir, Kabir'.",Emphasizes the importance of purifying one's mind and heart to attract divine grace and blessings.
"साधो यह मुर्दों का गांव, प्रेम न पीर न जान।\nयहाँ प्रेम बिन सब निरा, कबीरा करत विलान।।","O seekers, this is the village of the dead, where love and pain are unknown. Without love, everything is empty. Kabir condemns such a state.","Urges spiritual seekers to embrace love and compassion, as they are vital to experiencing a truly meaningful life."
"जैसी करनी वैसी भरनी, अब कैसे दूर जाय।\nकबीर गए बिना रोगी, नहीं सुधे मलिन बाय।।","As you sow, so shall you reap; how can you escape now? Kabir says, without curing the disease, the impure arm cannot be healed.",Highlights the principle of karma and the importance of taking responsibility for one's actions and their consequences.
"सुख के सब साथी, दुख में ना कोई।\nमेरे राम, सब जगत के संचो ठौर न होई।।","In happiness, everyone is a companion, but in sorrow, no one is there. O my Ram, in the whole world, there is no shelter other than You.",Reminds us of the transient nature of worldly relationships and emphasizes seeking shelter in the divine for true solace and support.
"दुख में सुमिरन सब करे, सुख में करै न कोय।\nजो सुख में सुमिरन करे, दुख काहे को होय।।","Everyone remembers God in times of sorrow, but not in happiness. One who remembers God in happiness, why would they experience sorrow?","Encourages remembering and connecting with the divine in both good and bad times, as it provides inner strength and stability."
"सांच बराबर तप नहीं, झूठ बराबर पाप।\nजाके हिरदय मं साचा, अंतर कपट किन काप।।","There is no penance equal to truth, and no sin equal to falsehood. Whose heart is truthful, deceit in them trembles.","Emphasizes the importance of being truthful and sincere in one's thoughts, words, and actions, as it leads to spiritual growth and inner peace."
"कबीर कुआँ एक है, पानी भरे अनेक।\nभेदा भरें सो भेदी, जल की ले एक।।","Kabir says there is one well, but water is drawn by many. The one who understands the secret, takes only the essence.","Encourages focusing on the essence and unity of existence rather than being caught up in superficial differences and distinctions."
"बुरा जो देखन मैं चला, बुरा न मिलिया कोय।\nजो मन खोजा आपना, मुझसे बुरा न कोय।।","I set out to find the bad in others, but I couldn't find any. When I searched within myself, I found no one worse than me.","Reminds us to reflect on our own shortcomings and work on self-improvement, rather than focusing on the faults of others."
"कबीरा खड़ा बाजार में, मांगे सबकी खैर।\nन काहू से दोस्ती, न काहू से बैर।।","Kabir stands in the marketplace, wishing well for all. He is friends with none, and enemies with none.","Promotes the idea of universal love and compassion, treating all beings equally and without any bias or prejudice."
"चिंता ऐसी डाकिनी, काट करे करजा।\nउठि सुख सैंय बिदारी, बैठि चिंता दरजा।।","Worry is such a demon that it eats away at your heart. It displaces happiness and takes its place.","Encourages letting go of worries and anxiety, as they harm one's well-being and hinder the experience of happiness."
