id,doha_hi,doha_en,meaning_en
1,"बुरा जो देखन मैं चला, बुरा न मिलिया कोई।
जो मन खोजा आपना, तो मुझसे बुरा न कोई।।","I set out to find the bad in others, but found none.
When I searched within my own mind, I found none worse than myself.","I set out to find the bad in others, but found none.
When I searched within my own mind, I found none worse than myself."
2,"धीरे धीरे रे मना, धीरे सब कुछ होय।
माली सींचे सौ घड़ा, ऋतु आए फल होय।।","Slowly, slowly, O mind, everything happens.
The gardener may water with a hundred pots, but the fruit appears only in its season.",Teaches patience and that everything happens in its own time.
3,"कबीरा कुआँ एक है, पानी भरे अनेक।
भांडे ही में भेद है, पानी सब में एक।।","Kabir says there is only one well, filled by many.
The vessels are different, but the water inside remains the same.","Highlights the unity and oneness of existence, and the constant source of all forms."
4,"साईं इतना दीजिये, जा मे कुटुम समाय।
मैं भी भूखा न रहूँ, साधु न भूखा जाय।।","Grant me, O Lord, enough to sustain my family.
Neither should I remain hungry, nor should any visitor go hungry.","Encourages contentment, sufficiency, and hospitality."
5,"जो तोको काँटा बोवे, सो तोको फूल भय।
कबीरा जो कुछ होत है, सब अपने करमाय।।","If you sow thorns, you will reap flowers.
Kabir says, whatever happens is due to one's own actions.",Emphasizes the importance of good deeds and the consequences of one's actions.
6,"बड़ा हुआ तो क्या हुआ, जैसे पेड़ खजूर।
पंथी को छाया नहीं, फल लगे अति दूर।।","What is the use of being big like a date palm tree?
It does not provide shade for travelers, and its fruits are hard to reach.","Emphasizes the importance of being useful and accessible to others, rather than just focusing on one's own growth or stature."
7,"कबीरा जब हम पैदा हुए, जग हंसे हम रोये।
ऐसी करनी कर चलो, हम हंसे जग रोये।।","When I was born, the world laughed and I cried.
Live your life in such a way that when you die, you laugh and the world cries.","Encourages living a purposeful, selfless life that positively impacts others and leaves a lasting legacy."
8,"अच्छा सुमीरन बुरा सुमीरन, सबका सुमीरन चल।
कबीरा सोई जतन करे, जा की मोतियाँ मल।।","Good or bad, everyone's time passes.
Kabir says, make efforts for the one whose pearls you will wear.","Encourages focusing on what truly matters in life and striving for long-lasting, meaningful accomplishments."
9,"पोथी पढ़ि पढ़ि जग मुआ, पंडित भया न कोय।
ढाई आखर प्रेम का, पढ़े सो पंडित होय।।","People die reading scriptures, but no one becomes wise.
The one who reads the two and a half letters of love becomes truly wise.","Emphasizes the importance of love, compassion, and understanding over mere intellectual knowledge or religious rituals."
10,"माया मरी न मुनि मरी, मरी है देह।
आवै जावै जोनी, जीवन कोई न लेह।।","Neither illusion nor the sage dies, only the body dies.
The soul keeps entering different life forms, no one can seize it.","Reflects on the impermanence of the physical body and the eternal nature of the soul, emphasizing spiritual growth over materialistic pursuits."
11,"कबीरा तेरी झोंपड़ी, गल काटियाँ के पास।
जो कारणे सोई बियाबान, यह तेरी आदेश।।","Kabir, your hut is near the road.
Whatever happens, stay in the wilderness, following your own path.","Encourages staying true to one's own beliefs and principles, regardless of external circumstances or others' opinions."
